q,a1,a2,a3,a4,a5,a6,a7
Tell Me An article Of Clothing Worm By Both Men And Women,Jacket,Jeans,T-Shirt,hat,Earrings,Pants,Belts
What Might A Kid Take Along If He’s Planning To Run Away Fro Home?,Clothes,Food,Money,Bedding,Toys,backpack,Bike
Name A movie Based On A TV Show Or Skit,Charlie’s Angels,Bewitched,Wayne’s World,Duke’s Of Hazzard,Brady Bunch,Starsky and Hutch,Blues Brothers
Name A word YOu Might see Before Or After The Word “Wax”,Earwax,Carwax,Beeswax,Wax Museum,Hot Wax,Wax Paper,Candle wax
What Profession Would You Want Your Mate To Have Just Because It’d Be Useful Around The House,Plumber,Carpenter,Doctor,Housekeeper,Chef,Electrician,Mechanic
Name Something You’d Hate To Find Has Happened To Your Car While It was parked.,Hit By Another Car,Carjacked,Keyed,Broken Into,Flat Tire,Towed,Parking Ticket
Name Something That No Wedding Ceremony Should Be Without,Bride,Minister,rings,Music,Flowers,Grooms,Vows
Name An Occupation Where You Have To Wake Up Early In The Morning.,Nurse,Paperboy,Doctor,Construction Worker,Bus Driver,Farmer,Baker
Name A Movie Based On A TV Show Or Skit.,Charlie’s Angels,Bewitched,Wayne’s World,Duke’s of Hazzard,Brady Bunch,Starsky And Hutch,Blues Brothers
Name Something You Would Pack For Your Stay At A Hotel Made Of Ice,Coat,Blanket,Heater,Glove,Sweater,Hat,Boots
Name A Word That You Might See Before Or After The Word “Wax”.,Ear Wax,Car Watch,Beeswax,Hot Wax,Wax Museum,Wax Paper,Candle Wax
Tell Me A Specific Part Of Your Body That You Never Worry About Getting Fat.,Feet,Hands,Nose,Ears,Mouth,Butt,Neck
Name Something You’d Hate To Find Had Happened To Your Car While It Was Parked.,Hit By Another Car,Carjacked,Keyed,Broken Into,Flat Tire,Towed,Parking Ticket
Name something you would hate to find under your bed.,Monster,Snake,Rotting Food,Spider,Rodent,Dust,Person
Name Something Politicians Always Say They’ll Improve.,Tax System,Budget Deficit,Health Care,Schools,War,Welfare,Roads
"Name Something You Find Out About A Hotel Ahead Of Time, When Decided Whether To Stay There.",Price,Pool,Location,Star Rating,Includes Breakfast?,Clean?,Vacancy
Name Something That No Wedding Ceremony Should Be Without.,Bride,Minister,Rings,Music,Flowers,Groom,Vows
What’s The Worst Thing To Leave In Your Pants Pocket When They Go Through The Wash,Money,Pen,Gum,Phone,Keys,Lipstick,Tissues
"No Matter What Your Age, Name Something That Can Make You Feel Like A Kid Again",Eating Sweets,Falling In Love,Playing Games/Sports,Being Around Kids,Disney/Theme Park,Riding A Bike,Dancing
Name An Excuse People Give For Not Seeing Their Dentist,Cost/No Insurance,Scared,Pain,Can’t Get Off Work,Sick,No Time,No Bad Teeth
Name A Good Gift For A High School Graduate,Car,Money,Luggage,Dictionary,Date Book,Back Pack,A Trip
Name Something You Might Want To Buy If You’re Hosting A Halloween Party,COSTUME,CANDY,DECORATIONS,MUSIC,PUMPKIN,DRINKS,APPLES
Name A Cartoon Character That’s Been Around Forever,Mickey Mouse,Buds Bunny,Charlie Brown,Mighty Mouse,Snoopy,Popeye,Betty Boop
Name Something Or Someone You’d See At A nightclub,PEOPLE,BARTENDER,LIGHTS,DRINKS,DJ,BAND,DANCERS
Name Something A Person Might Reach For At The Dinner Table,Salt And Pepper,Glass,Silverware,Bread,Napkins,Butter,Food
Name Something You’d Find In A Scientist’s Lab,Test Tubes,Beakers,Microscope,Chemicals,Bunsen Burners,Lab Coat,Goggles
Name Someone Big Bird Might Invite To His Birthday Party,SNUFFLEUPAGUS,OSCAR THE GROUCH,ELMO,COOKIE MONSTER,KERMIT THE FROG,ERNIE,GORDON
Name A Singer OF Classic Holiday Standards,BING CROSBY,NAT KING COLE,FRANK SINATRA,PERRY COMO,BURL IVES,ELVIS PRESLEY,JOHNNY MATHIS
Tell Me The Title Of A Movie That Used Clay-Motion Or Puppets,Muppet Movie,Gumby The Movie,Wallice And Grommit,Dark Crystal,Chicken Run,Team America,Nightmare Before Xmas
Name Something Your Neighbor Might Ask To Borrow,Cup Of Sugar,Lawn Mower,Charcoal,Milk,Mayonnaise,Tool,RAKE
Name Something Associated With Jimmy Carter,PRESIDENT,PEANUTS,WHITE HOUSE,AMY CARTER,HABITAT FOR HUMANITY,PEACE NEGOTIATIONS,ROSLYNN CARTER
Name An Instrument In An Orchestra,VIOLIN,FLUTE,TRUMPET,TROMBONE,TUBA,CELLO,SAXOPHONE
Name A Character From The Lord Of The rings,Frodo,Grandalf,Gollum,Legolas,Aragorn,Sam,Gimli
Name A Color Most People Wouldn’t Want To Paint Their House,Black,Pink,Purple,Orange,Red,White,Green
Name Something People Do For Fun Even Though It Scares Them,Roller Coasters,Bungee Jumping,Horror Movies,Sky Diving,Fun Houses,Driving Fast,Rock Climbing
Tell Me The Longest You’ve Ever Gone Without Eating.,24 Hours,2 Days,18 Hours,10 Hours,12 Hours,20 Hours,1 and a half days
Name Something People Do To Keep Warm In The Winter.,Snuggle,Drink Hot Cocoa,Build A Fire,Turn Up Heat,Wear A Coat,Exercise,Blanket
Name Something Snow White And Cinderella Have In Common.,A Prince,Evil Stepmothers,Fairy Tails,Beauty,Women,Princesses,Cartoons
Name A Complaint A Circus Clown Might Have About His Job.,Bad Kids,Too Many Kids,Low Pay,Smells Bad,No One Laughs,Costumes Are Hot,Gets Tired
Name A Part Of The Body That Often Itches.,Head,Back,Nose,Feet,Arm,Eyes,Hand
Name A Candy That Comes In Different Colors,Skittles,M&M,Lifesavers,Starburst,Now & Laters,Taffy,Jolly Ranchers
Name A Popular New Year’s Resolution,Lose Weight,Quit Smoking,Exercise,Do Better In School,Quit Drinking,Be A Better Person,Save Money
Tell Me The Number Of People Who Can Ride Comfortably In A Van. (Numeric Only),6,7,8,5,10,9,2
Name Something That Is Folded.,Clothes,Napkin,Origami/Paper,Towels,Sheet,Newspaper,Blanket
Name Something That’s Often Sold At A Swap Meet. (Be More Specific Than Junk Or Stuff),Clothes,Baseball Cards,Furniture,Tools,Dishes,Cars,Books
Name Someplace Where They Sell Cotton Candy.,Circus,Fair,Carnival,Amusement Park,Movie Theater,Candy Store,Chuck E. Cheese
Name A Type Of Tree That Looks Pretty In The Fall.,Oak,Maple,Pine,Apple,Evergreen,Spruce,Elm
Name Something The Indians Taught To The Pilgrims.,How To Grow Corn,Hunting,Sharing,Thanks,Peace,Cooking,How To Smoke
Name A Room In Your Home That’s Hard To Keep Clean.,Bathroom,Kitchen,Bedroom,Den,Dining Room,Kids Room,Living Room
Tell Me Something That Is Plugged Into An Outlet In A Hotel Room.,Lamp,TV,Hair Dryer,Phone,Clock,Coffee Pot,Microwave
Name Something You Need To Bake A Cake.,Flour,Eggs,Cake Mix,Baking Pan,Oven,Spatula,Milk
Name Something That Can Stink Up Your Car,Cigarettes,Rotten Fruit,Spoiled Milk,Fish,Wet Dog,Body Ordor,Onion
Name Someone You Don’t Want To Get A Phone Call From.,Police,IRS,Telemarketer,Your Ex,Bill Collecter,Attorney,Principal
Name Something You Might Chase If You Were A Dog.,Cats,Cars,Other Dogs,Balls,Bone,Your Tail,Rabbit
Tell Me Something At A Beach That Begins With “S.”,Sand,Sun,Seashore,Sunscreen,Surfers,Shells,Sandals
Name A Dessert That’s Made With Fruit.,Pie,Fruit Salad,Jello,Strawberry Shortcake,Banana Split,Fruit Cake,Sherbet
Name A Tourist Attraction That Offers A Great View,Grand Canyon,Empire State Building,Space Needle,Eiffel Tower,Washington Monument,Niagra Falls,St. Louis Arch
Name Something That Would Be Annoying For Your Roommate To Forget To Do.,Clean,Lock Door,Pat Rent,Flush Toilet,Turn Off lights,Shower/Bathe,Take Out The Trash
What Sport Would Become Disastrous If The Regular Ball Was Replaced With A Bowling Ball?,Baseball,Football,Basketball,Soccer,Tennis,Dodgeball,Volleyball
Name Someplace You Might Expect To Find A Snake.,Woods,Mountains,Farm,Garden,Grass,Desert,Zoo
"Besides White Christmas, Name A Song On Big Crosby’s White Christmas Album.",Jingle Bells,Silent Night,Silver Bells,I’ll Be Home For Xmas,Santa Coming To Town,Beginning To Look A,Adeste Fideles
"Besides On The Job, Name Another Life Situation Where You’ve Wished You Had Earplugs.",Concert,While Traveling,Sleeping,Babysitting,Swimming,In Traffic,Arguement
Name The Best Flavor Of Popsicle.,Cherry,Strawberry,Orange,Grape,Raspberry,Banana,Bubble Gum
"Name Something People Put Toothpicks In. (Food Is Not An Answer, Be More Specific)",In Your Teeth,Sandwich,Olives,Appetizers,Cheese Cube,Meatballs,Cakes
Name A Bad Job For Someone Who’s Afraid of Dogs.,Dog Catcher,Mail Carrier,Veterinarian,Dog Walker,Pet Shop Manager,Shelter Worker,Dog Trainer
Name Something Specific You Need If You Want To Make Coffee For Your Guests.,Coffee Beans,Coffee Maker,Water,Sugar,Mugs,Creamer/Milk,Filter
Name A Type Of Beverage You Are Allowed To Drink While Driving.,Soda Pop,Coffee,Water,Tea,Juice,Milk,Gatorade
Name A Person You Wouldn’t Kiss Under The Mistletoe.,Sibling,Parent,In Law,Santa,Exercise,Boss,Grandparent
Name Something Hawaii Is Known For.,Beaches,Luau,Volcanos,Hula Dancers,Leis,Pineapples,Islands
"Besides numbers,name a button on a calculator",Plus,Equal,Multiply,Divide,On/Off,Percent,Minus
Name Something You Find On A Fast Food Burger.,Beef,Ketchup,Mustard,Lettuce,Grease,Pickles,Onions
Name Something You Might Use Bricks To Build.,House,Wall,Barbecue Grill,Fireplace,Patio,Doghouse,Stairs
Name Different To Use Left Over Turkey,Sandwiches,Soup,Turkey Salad,Turkey Pot Pie,Casserole,Turkey Ala King,Turkey Hash
Tell Me A Reason Why A Person Might Be Awake At 3AM.,Insomnia,Working,Sick,New Baby,Studying,Nightmare,Use Bathroom
"If All Else Fails, Name Something People Get For Dad For The Holidays.",Tie,Tools,Socks,Money,Cologne,Shirt,Watch
Name A Reason Why Someone Might Miss Their Exit While Driving On A Freeway.,Not Paying Attention,Busy Talking,Cell Phone,Speeding,Radio is On,In The Wrong Lane,Weather
Tell me how many months it takes before a dog is house trained.(Numeric Only),3,2,4,1,5,6,8
Name a smell typically associated with Christmas.,Evergreen,Cinnamon,Cookies,Turkey,Peppermint,Ham,Apples
"In the heat of the moment,what might happen that could ruin it?",Phone call,Pass gas,Family member,Weather,Sneeze/cough,Door bell,Bad breath
"When ordering pizza,name something extra you might ask for.",Cheese,Pepperoni,Anchovies,Mushrooms,Hamburger,Onion,Bell Peppers
"When ordering pizza,name something extra you might ask for.",Cheese,Pepperoni,Anchovies,Mushrooms,Hamburger,Onion,Bell Peppers
Name something campers might take with them for emergencies.,First aid kit,Flashlight,Water,Knife,Matches,Cellular Phone,Blanket
"Name something that takes a long time to dry after it gets wet.(Clothes is not an answer,be more specific.)",Hair,Jeans,Carpet,Jacket,Shoes,Dog,Blanket
Name a fish that tastes good grilled.,Salmon,Trout,Flounder,Swordfish,Red fish,Bass,Catfish
Name something specific you might have insured.,Car,House,Jewelry,Life,Art,Cell Phone,Computer
Name something that’s sold at an airport gift shop.,Postcards,Magazine,Candy,Newspaper,Books,Food,Greeting cards
"Name something you might see in a High School shop class.(Tools is not an answer,be more specific)",Wood,Saw,Car,Drill,Books,Lathe,Hammer
Name something you probably would see in New York’s Central Park.,Benches,Joggers,Muggers,Pigeons,People,Trees,Homeless people
Tell me something you’ve accidentally dropped in the toilet.,Phone,Jewelry/watch,Toothbrush,Comb/hairbrush,Keys,Glasses,Money
Name a movie featuring a horse.,Black Beauty,Seabiscuit,Black Stallion,Horse Whisperer,Dreamer,National Velvet,My Friend Flicka
Name a U.S. city that starts with the letter “P”.,Pittsburgh,Philadelphia,Portland,Phoenix,Pasadena,Pomona,Park City
Name a movie character you would hate to be stuck with in a broken elevator.,Freddy Krueger,Hannibal Lector,Jason,Dracula,Daffy Duck,Darth Vader,Pee Wee Herman
Name another word for “Tired”.,Exhausted,Sleepy,Worn out,Stressed,Fatigued,Burnt out,Restless
Name a takeout food a family might have for dinner.,Pizza,Chow Mein,Chicken,Hamburgers,Mexican,Hot Dogs,Sandwiches
Name something that Godzilla would crush at Disneyworld.,Bambi,Mickey Mouse,Castle,People,Epcot Center,Space Mountain,Tea Cups
Name something you wear that you should never spend more than $20 on?,Socks,Undergarments,T Shirt,Hat,Makeup,Sunglasses,Tie
Tell me an age when girls start thinking about boys.(Numeric only),12,13,10,14,11,6,5
Tell me the average temperature in Fahrenheit at which people set their thermostat.(NUMERIC ONLY),70,75,72,100,68,65,60
Tell Me How Long In Months A Couple Must Be Dating Before It’s Considered “Serious.”,6 Months,12 Months,2Months,3 Months,24 Months,4 Months,8 Months
"If Madonna Were To Make A Snowman, Name Something She Might Put On It.",Pointy Bra,Top Hat,Jewelry,A Cross,dress,A Wig,Makeup
Name Something You’d See At A Gas Station.,Gas Pumps,Cars,Drinks,Oil,People,Lottery Tickets,Air Pump
Name A City That Has A Lot Of Hotels.,Las Vegas,New York,Los Angeles,Atlanta,Chicago,Orlando,Atlantic City
"Besides Toys, Name Something A Kid Might Receive At Christmas",Clothes,Cash,Books,Candy,Bike,Underware,Ball
Name Another Word For Toilet,John,Commode,Potty,Can,Latrine,Loo,Bathroom
Name A Vegetable That Is Not Green,Carrot,Corn,Pumpkin,Potato,Beet,Cauliflower,Egg Plant
Name Something Pilgrims Wear,Hat,Capes,Buckle Shoes,Bonnets,Big White Collars,Bloomers,Stockings
"Besides The Star, Name Someone That Might Ride In A Rock Star’s Tour Bus.",Manager,Driver,Groupies,Band,BodyGaurd,Agent,Journalist
Name A Celebrity Who Is Often Photographed Off-Screen With Children.,Angelina Jolie,Madonna,Rosie O’Donnell,Will Smith,Oprah Winfrey,Brad Pitt,Jerry Lewis
Tell Me A Part Of A Bicycle That Would Be Tough To Ride Without.,Pedals,seat,Wheels,Handlebars,Chain,Bell,Brakes
Name Something A Person On A Diet Might Eat For Breakfast.,Fruit,Yogurt,Dry Toast,Cereal,Slim Fast,Bran Muffins,Breakfast Bar
Name A Place Where Beverages Are Always Overpriced,Bar/Club,Movie Theater,Concert,Sporting Event,Airport,Fair,Coffee Shop
Name Something You Wish People Wouldn’t Do In An Elevator.,Smoke,Pass Gas,Sneeze,Talk,Kiss,Stand Too Close,Cough
Name An Actor Or Actress Who Commands A High Salary To Be In A Film.,Tom Cruise,Jim Carrey,Brad Pitt,Julia Roberts,Tom Hanks,Denzel Washington,Will Smith
Name A City With A Lot Of Pollution,Los Angeles,New York,St. Louis,Cleveland,Chicago,Detroit,Houston
Name Something People Give As A Housewarming Gift.,Plant,Vase With Flowers,Fruit Basket,Linens,Bottle Of Wine,Toaster,Dishes
Name Something The Police Use To Identify A Criminal.,Fingerprints,Drivers License,Pictures,Mug Shot,Computer,License Plate,DNA Testing
Name A Place Where You Nap Just To Pass The Time.,At Home,Work,Long Car/Bus Ride,Airport/Plane,Park,School,Doctor’s Office
"Who’s An Actor That Hails From Canada,Eh?",Jim Carrey,Mike Myers,Michael J Fox,Dan Aykroyd,William Shatner,John Candy,Donald sutherland
Name Something Baseball Players Do While They’re In The Dugout.,Spit,Chew Tobacco,Chew Gum,Drink Fluids,Watch Game,Talk,Cheer
"If You Asked A Six-Year-Old, Name Something They’d Tell You About The Moon.",Made Of Cheese,Man Lives In It,Round,Astronauts Landed,Big,Bright,Far Away
Name Something Grown-Ups Have To Do That Babies Don’t.,Work,Pay Taxes,Feed Themselves,Pay Bills,Clean,Brush Teeth,Wipe Themselves
Name Something A Clown Might Be Carrying,Balloons,Pie,Flowers,Horn,Ball,Umbrella,handkerchief
Which Country Would You Want To Become The 51st American State?,Canada,Mexico,Puerto Rico,England,Australia,France,Italy
Name Something People Keep In Their Car For Emergencies.,Flashlight,Flares,Blanket,Jumper Cable,Spare Tire,Cell Phone,Jack
Name Something Or Someone Associated With “The Partridge Family.”,Music,Bust,Danny,Shirley,Big Family,Keith/David Cassidy,Laurie/Susan
Name Something Related To Finances That It’s Hard To Explain To A Kid.,Taxes,Credit,Interest,Budget,Stocks,Mortgage,Loans
Name Something You Put On Before Going Out Into The Snow.,Snow Boots,Coat,Gloves,Long Johns,Hat,Scarf,Snow Pants
Name Something A Kid Might Need To Buy Before Starting A New School Year,Backpack,Clothes,Pencils,Pens,Crayons,Books,Notebook
Name A Place Where You Might Have A Friendly Conversation With A Total Stranger.,Grocery store,Bar,Airplane,Park,Coffee Shop,Bus,Parking Lot
Name A Place Where They Always Keep You Waiting.,Doctor’s Office,Department Store,Airport,Pharmacy,Dentist’s Office,Restaurant,DMV
Name a food that comes in a box.,Cereal,Macaroni and cheese,Crackers,Hamburger Helper,Donuts,Popcorn,Pizza
Name A Toy Parents Have To Put Together.,Bicycle,Doll House,Train Set,Race Track,Kite,Jungle Gym,Play House
Name The Author Living Or Dead Who Writes The Scariest Stories.,Stephen King,Edgar Allan Poe,HP Lovecraft,R.L.Stine,Anne Rice,Dean Koontz,Poppy Z Brite
Name One Of Santa’s Reindeer,Rudolph,Donder,Blitzen,Dancer,Vixen,Cupid,Prancer
Which Class Do Students Take In College Thinking It Would Be An Easy ‘A’?,Art,English,Gym,Music,Psychology,Cooking,Drama
Name A Clothing Designer Who’s World Famous.,Calvin Klein,Ralph Lauren,Giorgio Armani,Tommy Hilfiger,Versace,Donna Karan,Gucci
"If You Could Have A Movie Star Narrate Your Life, Whose Voice Would You Choose?",Morgan freeman,James earl Jones,Brad Pitt,Julia Roberts,Sean Connery,Denzil Washington,Robert Redford
"Besides President, Name A Political Office People Run For.",Governer,Senator,Congress,Mayor,Vice President,Attorney General,Secretary Of State
